ID                    RA(J2000)       Dec(J2000)  r_aper(1") z_spec    z_err         zq
J022410.5-044624.6     36.04365349    -4.77348760 17.09     -0.000242  0.000007      4
J022437.7-044428.5     36.15720391    -4.74124240 16.22      0.000065  0.000012      4
J022509.7-043019.4     36.29033089    -4.50539680 17.51     -0.000005  0.000009      4
J022704.3-042659.4     36.76782489    -4.44983200 16.44      0.000149  0.000005      4
J022648.8-042702.7     36.70329452    -4.45073750 16.00     -0.000115  0.000006      4
J022701.4-045306.6     36.75592661    -4.88515520 16.88     -0.000127  0.000005      4
J022646.9-043220.4     36.69545531    -4.53901290 16.69     -0.000273  0.000005      4
J022650.8-043106.3     36.71160936    -4.51842740 17.20     -0.000044  0.000006      4
J022526.8-044520.1     36.36174560    -4.75558330 17.49     -0.000672  0.000016      4
J022504.8-050506.9     36.27017498    -5.08523700 16.19      0.000120  0.000006      4
J022343.9-042536.7     35.93297839    -4.42686410 16.56     -0.000474  0.000006      4
J022645.7-042633.6     36.69039130    -4.44267940 16.59      0.000090  0.000004      4
J022624.6-045900.8     36.60246491    -4.98355960 16.76      0.000066  0.000004      4
J022632.5-042408.4     36.63559914    -4.40233950 16.25     -0.000050  0.000006      4
J161017.7+541110.3    242.57366180    54.18619540 17.44      0.000020  0.000004      4
J161112.8+540127.6    242.80340195    54.02432250 17.07     -0.000311  0.000015      4
J161022.0+541645.7    242.59171486    54.27936170 17.24     -0.000120  0.000003      4
J160824.5+541933.7    242.10227966    54.32601930 17.89     -0.000359  0.000005      4
J160710.4+542856.0    241.79328918    54.48223110 17.82      0.000004  0.000007      4
J160858.3+542815.1    242.24298477    54.47085950 16.57     -0.000079  0.000009      4
J160833.8+542926.2    242.14096069    54.49062350 17.92     -0.000004  0.000007      4
J160752.5+543142.5    241.96895599    54.52846150 17.95      0.000021  0.000008      4
J160747.6+544235.4    241.94832802    54.70983890 17.40     -0.000354  0.000006      4
J160712.7+543937.6    241.80293083    54.66043090 16.67      0.000012  0.000005      4
J161003.7+543849.8    242.51543999    54.64716720 17.88     -0.000338  0.000007      4
J161332.0+542023.6    243.38315964    54.33988190 16.60     -0.000194  0.000004      4
J161031.6+542115.2    242.63185501    54.35422900 16.67     -0.000238  0.000004      4
J160953.7+540100.2    242.47372627    54.01671600 16.62     -0.000060  0.000004      4
J160841.0+540510.5    242.17091560    54.08625410 17.21     -0.000247  0.000005      4
J160814.9+540155.1    242.06188202    54.03195950 16.22     -0.000204  0.000005      4
J160747.4+543816.0    241.94755554    54.63777920 17.08     -0.000119  0.000003      4
J160948.6+543414.2    242.45235443    54.57060240 17.35     -0.000345  0.000005      4
J160931.0+540225.5    242.37928391    54.04041290 16.21     -0.000149  0.000003      4
J161109.6+542829.7    242.78995514    54.47490690 16.28     -0.000292  0.000005      4
J161306.9+542703.5    243.27858925    54.45096970 17.52     -0.000574  0.000008      4
J161246.0+540953.6    243.19164276    54.16488270 16.96     -0.000235  0.000006      4
J161237.1+540900.8    243.15470695    54.15023040 17.34     -0.001168  0.000008      4
J161024.0+542047.5    242.59984016    54.34652710 17.92     -0.000359  0.000008      4
J161006.7+540636.4    242.52782822    54.11010740 17.14     -0.000044  0.000007      4
J160655.3+542440.7    241.73028946    54.41131210 17.13     -0.000197  0.000004      4
J160733.2+542942.3    241.88853264    54.49507900 16.95     -0.000302  0.000006      4
J160809.3+544518.0    242.03882217    54.75501250 16.92     -0.000257  0.000004      4
J160715.3+543414.6    241.81354523    54.57072070 17.21     -0.000099  0.000006      4
J161311.6+542628.9    243.29838753    54.44137190 16.27     -0.000256  0.000004      4
J161051.3+541532.1    242.71376610    54.25891490 16.41     -0.000063  0.000003      4
J161206.5+544706.3    243.02704811    54.78509140 17.41     -0.000228  0.000006      4
J161251.2+543619.5    243.21330070    54.60542300 17.31     -0.000258  0.000004      4
J161324.4+541547.9    243.35154533    54.26331710 17.29     -0.001049  0.000008      4
J160925.4+541454.1    242.35565186    54.24835590 17.41     -0.000521  0.000005      4
J160830.9+541414.5    242.12865829    54.23736190 17.57     -0.000089  0.000004      4
